feature,importance
Dst Port,0.11330011260871176
Fwd Header Len,0.11015669182900673
Init Fwd Win Byts,0.09041185655588585
Fwd Act Data Pkts,0.08805903326446332
Subflow Fwd Byts,0.07140079202348297
TotLen Fwd Pkts,0.06261244273568867
Fwd Seg Size Min,0.05861741347339031
Bwd Header Len,0.048656805912895645
Tot Fwd Pkts,0.0469159662236949
Subflow Fwd Pkts,0.037531722305209285
Subflow Bwd Pkts,0.02850611826846325
Bwd Pkt Len Max,0.02644252000966045
Fwd Pkt Len Mean,0.024564466251281628
Fwd Pkt Len Max,0.024336142954609955
Fwd Pkt Len Std,0.022115225358193304
Fwd Seg Size Avg,0.018363905275969976
Pkt Len Var,0.014455910600956308
Tot Bwd Pkts,0.012698356568505596
Pkt Len Std,0.01021233845738543
TotLen Bwd Pkts,0.009649454830074476
Bwd Pkt Len Std,0.008518660022603475
Bwd IAT Mean,0.008429676839954691
Fwd Pkts/s,0.007657283199194104
Init Bwd Win Byts,0.006498757546931289
Bwd Seg Size Avg,0.006204053491688434
Flow Byts/s,0.0059771045258275
Bwd IAT Std,0.00593369616772652
Pkt Len Mean,0.0052715735320012095
Subflow Bwd Byts,0.004712426147514509
Fwd IAT Std,0.0034736515231170704
Fwd IAT Tot,0.0032812065799527144
Flow Duration,0.0028395631560880126
Flow Pkts/s,0.0022096332459953863
Bwd Pkt Len Mean,0.002199600433254896
Flow IAT Max,0.0011480603464550144
Flow IAT Std,0.0011275875676344735
Bwd Pkts/s,0.0010679521341250236
Bwd IAT Max,0.0008760648814648299
Fwd IAT Mean,0.0007533314729864876
Active Min,0.0006169292871148463
Bwd IAT Min,0.00058554238868296
Flow IAT Mean,0.0004117942667898833
Fwd IAT Max,0.0002626119897628528
Pkt Size Avg,0.0002468836220325616
Bwd IAT Tot,0.00021725284505706312
URG Flag Cnt,0.00021299876906965081
ACK Flag Cnt,7.906415612394111e-05
Down/Up Ratio,5.471451228872056e-05
Protocol,4.630104294893847e-05
Pkt Len Max,3.491259640665184e-05
PSH Flag Cnt,2.089832912472124e-05
Idle Std,7.1366108423887565e-06
Flow IAT Min,5.573655276857376e-06
Active Std,4.1383803247953015e-06
Idle Min,2.9716726212068306e-06
Idle Mean,1.4540102899970142e-06
Fwd IAT Min,1.1341527989966613e-06
Idle Max,3.353886514140227e-07
Active Max,1.0232081875327948e-07
SYN Flag Cnt,7.745946078382893e-08
FIN Flag Cnt,1.4221463642362349e-08
Active Mean,2.5722825399258222e-15
Bwd Pkt Len Min,2.7261562895289796e-16
Fwd Pkt Len Min,4.040211817322549e-17
RST Flag Cnt,8.854066571631092e-18
ECE Flag Cnt,0.0
Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Fwd Byts/b Avg,0.0
CWE Flag Count,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Pkt Len Min,0.0
